company_name,website,primary_category,subcategory,hq_country,status
Griptape,https://www.griptape.ai,AI/ML,AI Agent Framework,USA,active
Relevance AI,https://relevanceai.com,AI/ML,AI Agent Platform,Australia,active
Voiceflow,https://www.voiceflow.com,AI/ML,AI Chatbot Builder,Canada,active
Botpress,https://botpress.com,AI/ML,AI Chatbot Builder,Canada,active
Stack AI,https://www.stack-ai.com,AI/ML,AI App Builder,USA,active
Vapi AI,https://vapi.ai,AI/ML,Voice AI Platform,USA,active
Bland AI,https://www.bland.ai,AI/ML,Voice AI Platform,USA,active
Retell AI,https://www.retellai.com,AI/ML,Voice AI Platform,USA,active
PlayHT,https://play.ht,AI/ML,Voice AI,USA,active
Gladia,https://www.gladia.io,AI/ML,Speech AI,France,active
Speechmatics,https://www.speechmatics.com,AI/ML,Speech Recognition,UK,active
Rev AI,https://www.rev.ai,AI/ML,Speech-to-Text,USA,active
Symbl AI,https://symbl.ai,AI/ML,Conversation Intelligence,USA,active
Fireflies AI,https://fireflies.ai,AI/ML,Meeting AI,USA,active
Grain,https://grain.com,AI/ML,Meeting AI,USA,active
Mostly AI,https://mostly.ai,AI/ML,Synthetic Data,Austria,active
Gretel AI,https://gretel.ai,AI/ML,Synthetic Data,USA,active
Synthesis AI,https://synthesis.ai,AI/ML,Synthetic Data,USA,active
Hazy,https://hazy.com,AI/ML,Synthetic Data,UK,active
YData,https://ydata.ai,AI/ML,Synthetic Data,Portugal,active
Unstructured,https://unstructured.io,AI/ML,Data Processing,USA,active
Embedchain,https://embedchain.ai,AI/ML,RAG Framework,India,active
MyScale,https://myscale.com,AI/ML,Vector Database,China,active
AstraDB,https://www.datastax.com/products/datastax-astra,AI/ML,Vector Database,USA,active
Epsilla,https://epsilla.com,AI/ML,Vector Database,USA,active
Vald,https://vald.vdaas.org,AI/ML,Vector Search,Japan,active
InfinityDB,https://infiniflow.org,AI/ML,AI Search Engine,China,active
Voyage AI,https://www.voyageai.com,AI/ML,Embedding Models,USA,active
Jina AI,https://jina.ai,AI/ML,Embedding Models,Germany,active
Nomic AI,https://nomic.ai,AI/ML,Embedding Models,USA,active
Mixedbread AI,https://mixedbread.ai,AI/ML,Embedding Models,Germany,active
Salad Cloud,https://salad.com,AI/ML,GPU Cloud,USA,active
Shadeform,https://shadeform.ai,AI/ML,GPU Cloud Marketplace,USA,active
TensorDock,https://tensordock.com,AI/ML,GPU Cloud,USA,active
Massed Compute,https://massedcompute.com,AI/ML,GPU Cloud,UK,active
DataCrunch,https://datacrunch.io,AI/ML,GPU Cloud,Finland,active
FluidStack,https://www.fluidstack.io,AI/ML,GPU Cloud,UK,active
TypingMind,https://www.typingmind.com,AI/ML,LLM Chat UI,Singapore,active
LibreChat,https://www.librechat.ai,AI/ML,LLM Chat UI,Open Source,active
Msty,https://msty.app,AI/ML,Local LLM Client,Open Source,active
Xinference,https://inference.readthedocs.io,AI/ML,Local LLM Inference,China,active
Text Generation WebUI,https://github.com/oobabooga/text-generation-webui,AI/ML,Local LLM UI,Open Source,active
ExllamaV2,https://github.com/turboderp/exllamav2,AI/ML,LLM Inference,Open Source,active
Aphrodite Engine,https://github.com/PygmalionAI/aphrodite-engine,AI/ML,LLM Serving,Open Source,active
Unify AI,https://unify.ai,AI/ML,LLM Routing,UK,active
Not Diamond,https://www.notdiamond.ai,AI/ML,LLM Routing,USA,active
Martian,https://withmartian.com,AI/ML,LLM Routing,USA,active
NeMo Guardrails,https://github.com/NVIDIA/NeMo-Guardrails,AI/ML,LLM Safety,USA,active
HiddenLayer,https://hiddenlayer.com,AI/ML,AI Security,USA,active
Adversa AI,https://adversa.ai,AI/ML,AI Security,Israel,active
Robust Intelligence,https://www.robustintelligence.com,AI/ML,AI Security,USA,active
Seldon Deploy,https://www.seldon.io,AI/ML,ML Deployment,UK,active
Triton Inference Server,https://developer.nvidia.com/triton-inference-server,AI/ML,ML Inference,USA,active
ONNX Runtime,https://onnxruntime.ai,AI/ML,ML Runtime,USA,active
OpenVINO,https://www.intel.com/content/www/us/en/developer/tools/openvino-toolkit/overview.html,AI/ML,ML Inference,USA,active
TensorRT,https://developer.nvidia.com/tensorrt,AI/ML,ML Inference,USA,active
Lobe Chat,https://lobechat.com,AI/ML,LLM Chat UI,Open Source,active
TGI (HuggingFace),https://huggingface.co/docs/text-generation-inference,AI/ML,LLM Serving,USA,active
Oblivus,https://oblivus.com,AI/ML,GPU Cloud,USA,active
Apache Spark MLlib,https://spark.apache.org/mllib,AI/ML,ML Library,Open Source,active
Mosaic AI,https://www.databricks.com/product/machine-learning,AI/ML,ML Platform,USA,active
Bedrock (AWS),https://aws.amazon.com/bedrock,AI/ML,LLM API,USA,active
Google AI Studio,https://aistudio.google.com,AI/ML,LLM Development,USA,active
Mistral API,https://mistral.ai/api,AI/ML,LLM API,France,active
xAI Grok API,https://x.ai/api,AI/ML,LLM API,USA,active
DeepSeek API,https://platform.deepseek.com,AI/ML,LLM API,China,active
Qwen API,https://dashscope.aliyun.com,AI/ML,LLM API,China,active
Krutrim Cloud,https://cloud.olakrutrim.com,AI/ML,LLM Cloud,India,active
Sarvam AI,https://www.sarvam.ai,AI/ML,LLM API,India,active
Falcon LLM (TII),https://falconllm.tii.ae,AI/ML,LLM,UAE,active
Nebius AI,https://nebius.com/ai-studio,AI/ML,LLM Cloud,Cyprus,active
Friendli AI,https://friendli.ai,AI/ML,LLM Inference,South Korea,active
Upstage AI,https://www.upstage.ai,AI/ML,LLM API,South Korea,active
Kakao Brain,https://www.kakaobrain.com,AI/ML,LLM,South Korea,active
01.AI,https://www.01.ai,AI/ML,LLM,China,active
Moonshot AI,https://www.moonshot.cn,AI/ML,LLM API,China,active
Zhipu AI,https://open.bigmodel.cn,AI/ML,LLM API,China,active
Baichuan AI,https://www.baichuan-ai.com,AI/ML,LLM,China,active
MiniMax AI,https://www.minimax.chat,AI/ML,LLM API,China,active
StepFun,https://www.stepfun.com,AI/ML,LLM,China,active
Ideogram,https://ideogram.ai,AI/ML,Image Generation,USA,active
Recraft AI,https://www.recraft.ai,AI/ML,Image Generation,UK,active
Adobe Firefly API,https://developer.adobe.com/firefly-api,AI/ML,Image Generation,USA,active
Imagen (Google),https://deepmind.google/technologies/imagen-3,AI/ML,Image Generation,USA,active
Sora (OpenAI),https://sora.com,AI/ML,Video Generation,USA,active
Kling AI,https://klingai.com,AI/ML,Video Generation,China,active
Pika Labs,https://pika.art,AI/ML,Video Generation,USA,active
Hailuo AI,https://hailuoai.video,AI/ML,Video Generation,China,active
Luma AI,https://lumalabs.ai,AI/ML,Video Generation,USA,active
Hedra,https://www.hedra.com,AI/ML,Video Generation,USA,active
Captions AI,https://www.captions.ai,AI/ML,Video AI,USA,active
Opus Clip,https://www.opus.pro,AI/ML,Video AI,USA,active
Riverside FM AI,https://riverside.fm,AI/ML,Audio/Video AI,Israel,active
Wondercraft,https://www.wondercraft.ai,AI/ML,Audio Generation,UK,active
Suno AI,https://www.suno.ai,AI/ML,Music Generation,USA,active
Udio,https://www.udio.com,AI/ML,Music Generation,USA,active
Mubert,https://mubert.com,AI/ML,Music Generation,USA,active
Aiva,https://www.aiva.ai,AI/ML,Music Generation,Luxembourg,active
NotebookLM,https://notebooklm.google.com,AI/ML,AI Research Tool,USA,active
You.com,https://you.com,AI/ML,AI Search,USA,active
Exa AI,https://exa.ai,AI/ML,AI Web Search,USA,active
Tavily,https://tavily.com,AI/ML,AI Web Search,USA,active
Andi Search,https://andisearch.com,AI/ML,AI Search,USA,active
Kagi,https://kagi.com,AI/ML,AI Search,USA,active
Metaphor Systems,https://metaphor.systems,AI/ML,AI Search,USA,active
Serper AI,https://serper.dev,AI/ML,Search API,USA,active
BrightData AI,https://brightdata.com/products/web-scraper/ai,AI/ML,AI Web Scraping,Israel,active
Crawl4AI,https://crawl4ai.com,AI/ML,Web Scraping for AI,Open Source,active
SpiderAI,https://spider.cloud,AI/ML,Web Crawling for AI,USA,active
Scrapegraph AI,https://scrapegraphai.com,AI/ML,AI Web Scraping,Italy,active
Diffbot,https://www.diffbot.com,AI/ML,AI Knowledge Graph,USA,active
Mem AI,https://mem.ai,AI/ML,AI Knowledge Base,USA,active
Coda AI,https://coda.io/ai,AI/ML,AI Productivity,USA,active
Capacities,https://capacities.io,AI/ML,AI Note-taking,Germany,active
Logseq AI,https://logseq.com,AI/ML,AI Knowledge Graph,USA,active
Julius AI,https://julius.ai,AI/ML,AI Data Analysis,USA,active
Code Interpreter API,https://codeinterpreterapi.com,AI/ML,Code Execution,USA,active
Hex Magic,https://hex.tech/product/magic-ai,AI/ML,AI Data Analysis,USA,active
Noteable,https://noteable.io,AI/ML,AI Data Notebook,USA,active
ThoughtSpot AI,https://www.thoughtspot.com,AI/ML,AI Analytics,USA,active
MicroStrategy AI,https://www.microstrategy.com/en/hyperintelligence,AI/ML,AI Analytics,USA,active
Sisense AI,https://www.sisense.com,AI/ML,AI Analytics,Israel,active
Qlik AI,https://www.qlik.com/us/products/qlik-ai,AI/ML,AI Analytics,USA,active
IBM watsonx,https://www.ibm.com/watsonx,AI/ML,Enterprise AI,USA,active
Oracle AI,https://www.oracle.com/artificial-intelligence,AI/ML,Enterprise AI,USA,active
Salesforce Einstein AI,https://www.salesforce.com/products/einstein/overview,AI/ML,Enterprise AI,USA,active
SAP AI Core,https://www.sap.com/products/artificial-intelligence/ai-core.html,AI/ML,Enterprise AI,Germany,active
Pluralsight AI,https://www.pluralsight.com/ai,AI/ML,AI Learning,USA,active
Weights & Biases Reports,https://wandb.ai/fully-connected,AI/ML,ML Reports,USA,active
Comet LLM,https://www.comet.com/site/llm,AI/ML,LLM Ops,USA,active
DVCx,https://dvc.org,AI/ML,ML Versioning,USA,active
Pachyderm,https://www.pachyderm.com,AI/ML,Data Versioning,USA,active
Featureform,https://www.featureform.com,AI/ML,Feature Store,USA,active
Fennel AI,https://fennel.ai,AI/ML,Feature Engineering,USA,active
AzureML Feature Store,https://azure.microsoft.com/en-us/products/machine-learning/feature-store,AI/ML,Feature Store,USA,active
Amazon SageMaker Feature Store,https://aws.amazon.com/sagemaker/feature-store,AI/ML,Feature Store,USA,active
Scale Nucleus,https://scale.com/nucleus,AI/ML,Computer Vision,USA,active
Hasty AI,https://hasty.ai,AI/ML,Computer Vision,Germany,active
Neurala,https://www.neurala.com,AI/ML,Computer Vision,USA,active
Cogniac,https://www.cogniac.ai,AI/ML,Computer Vision,USA,active
Viso Suite,https://viso.ai,AI/ML,Computer Vision,Switzerland,active
DeepStream,https://developer.nvidia.com/deepstream-sdk,AI/ML,Computer Vision,USA,active
Open Interpreter,https://openinterpreter.com,AI/ML,AI Code Interpreter,USA,active
Plandex,https://plandex.ai,AI/ML,AI Code Planning,USA,active
GPT Pilot,https://github.com/Pythagora-io/gpt-pilot,AI/ML,AI Code Generation,USA,active
Devika,https://github.com/stitionai/devika,AI/ML,AI Software Agent,Open Source,active
Zencoder,https://zencoder.ai,AI/ML,AI Code Generation,USA,active
Google Jules,https://jules.google,AI/ML,AI Coding Agent,USA,active
Gemini CLI,https://github.com/google-gemini/gemini-cli,AI/ML,AI CLI Tool,USA,active
Claude Code,https://www.anthropic.com/claude-code,AI/ML,AI Code Assistant,USA,active
Poe API,https://poe.com,AI/ML,LLM API Aggregator,USA,active
SambaNova,https://sambanova.ai,AI/ML,AI Hardware/Inference,USA,active
Tenstorrent,https://tenstorrent.com,AI/ML,AI Hardware,Canada,active
Graphcore,https://www.graphcore.ai,AI/ML,AI Hardware,UK,active
Habana Labs (Intel),https://habana.ai,AI/ML,AI Hardware,Israel,active
Mythic AI,https://www.mythic-ai.com,AI/ML,AI Hardware,USA,active
d-Matrix,https://www.d-matrix.ai,AI/ML,AI Inference Hardware,USA,active
Etched AI,https://www.etched.com,AI/ML,AI Hardware,USA,active
Modular AI,https://www.modular.com,AI/ML,AI Runtime,USA,active
Axonn AI,https://axonn.ai,AI/ML,AI Infrastructure,USA,active
Together Computer,https://www.together.ai,AI/ML,LLM Inference,USA,active
Predibase,https://predibase.com,AI/ML,LLM Fine-tuning,USA,active
OpenPipe,https://openpipe.ai,AI/ML,LLM Fine-tuning,USA,active
Axolotl,https://github.com/OpenAccess-AI-Collective/axolotl,AI/ML,LLM Fine-tuning,Open Source,active
LLaMA Factory,https://github.com/hiyouga/LLaMA-Factory,AI/ML,LLM Fine-tuning,China,active
Unsloth,https://unsloth.ai,AI/ML,LLM Fine-tuning,Open Source,active
AutoTrain (HuggingFace),https://huggingface.co/autotrain,AI/ML,ML AutoML,USA,active
Ludwig,https://ludwig.ai,AI/ML,AutoML,USA,active
AutoGluon,https://auto.gluon.ai,AI/ML,AutoML,USA,active
FLAML,https://microsoft.github.io/FLAML,AI/ML,AutoML,USA,active
Hyperopt,http://hyperopt.github.io/hyperopt,AI/ML,Hyperparameter Optimization,Open Source,active
Weights & Biases Sweeps,https://wandb.ai/site/sweeps,AI/ML,Hyperparameter Optimization,USA,active
Neural Magic,https://neuralmagic.com,AI/ML,ML Optimization,USA,active
Deeplake,https://www.activeloop.ai,AI/ML,ML Data Store,USA,active
Activeloop,https://www.activeloop.ai,AI/ML,AI Data Platform,USA,active
Oxen AI,https://www.oxen.ai,AI/ML,ML Data Versioning,USA,active
Lakeformation AI,https://aws.amazon.com/lake-formation,AI/ML,Data Lake,USA,active
Alluxio,https://www.alluxio.io,AI/ML,Data Orchestration,USA,active
Orchest,https://www.orchest.io,AI/ML,ML Pipeline,Netherlands,active
Kedro,https://kedro.org,AI/ML,ML Pipeline,UK,active
Lightly AI,https://www.lightly.ai,AI/ML,Self-supervised Learning,Switzerland,active
Scale Rapid,https://scale.com/rapid,AI/ML,Data Labeling,USA,active
Argilla,https://argilla.io,AI/ML,Data Annotation,Spain,active
Prodigy,https://prodi.gy,AI/ML,Data Annotation,Netherlands,active
Rubrix,https://rubrix.readthedocs.io,AI/ML,Data Annotation,Spain,active
Labelme,https://labelme.io,AI/ML,Image Annotation,Open Source,active
COCO Annotator,https://github.com/jsbroks/coco-annotator,AI/ML,Image Annotation,Open Source,active
Supervisely,https://supervisely.com,AI/ML,Computer Vision Platform,Cyprus,active
Aquarium Learning,https://www.aquariumlearning.com,AI/ML,ML Data Management,USA,active
Kolena,https://www.kolena.io,AI/ML,ML Evaluation,USA,active
Weights,https://weights.gg,AI/ML,AI Model Platform,USA,active
CivitAI,https://civitai.com,AI/ML,AI Model Hub,USA,active
OLLaHub,https://ollahub.ai,AI/ML,AI Model Hub,USA,active
OpenMLDB,https://openmldb.ai,AI/ML,ML Feature Platform,China,active
Bigframes (Google),https://cloud.google.com/bigquery/docs/bigframes-introduction,AI/ML,ML Data Processing,USA,active
Spark NLP,https://sparknlp.org,AI/ML,NLP Library,USA,active
AllenNLP,https://allennlp.org,AI/ML,NLP Library,USA,active
Flair NLP,https://github.com/flairNLP/flair,AI/ML,NLP Library,Germany,active
FastText,https://fasttext.cc,AI/ML,NLP Library,USA,active
Semantic Router,https://github.com/aurelio-labs/semantic-router,AI/ML,LLM Routing,UK,active
RouteLLM,https://github.com/lm-sys/RouteLLM,AI/ML,LLM Routing,USA,active
Notta AI,https://www.notta.ai,AI/ML,Speech-to-Text,Japan,active
Sonix AI,https://sonix.ai,AI/ML,Transcription AI,USA,active
Verbit,https://verbit.ai,AI/ML,AI Transcription,Israel,active
Speak AI,https://speakai.co,AI/ML,Speech Analytics,USA,active
Podsqueeze,https://podsqueeze.com,AI/ML,Podcast AI,Portugal,active
Podcastle AI,https://podcastle.ai,AI/ML,Podcast AI,USA,active
Resemble AI,https://www.resemble.ai,AI/ML,Voice Cloning,Canada,active
Coqui AI,https://coqui.ai,AI/ML,Voice AI,USA,active
Tortoise TTS,https://github.com/neonbjb/tortoise-tts,AI/ML,Text-to-Speech,Open Source,active
Bark,https://github.com/suno-ai/bark,AI/ML,Text-to-Speech,Open Source,active
StyleTTS2,https://github.com/yl4579/StyleTTS2,AI/ML,Text-to-Speech,Open Source,active
Kokoro TTS,https://github.com/hexgrad/kokoro,AI/ML,Text-to-Speech,Open Source,active
Nari Labs Dia,https://github.com/nari-labs/dia,AI/ML,Text-to-Speech,USA,active
FishAudio,https://fish.audio,AI/ML,Voice AI,China,active
MeloTTS,https://github.com/myshell-ai/MeloTTS,AI/ML,Text-to-Speech,USA,active
MyShell AI,https://myshell.ai,AI/ML,Voice AI,USA,active
HeyGen,https://www.heygen.com,AI/ML,AI Video Generation,USA,active
Synthesia,https://www.synthesia.io,AI/ML,AI Video Generation,UK,active
D-ID,https://www.d-id.com,AI/ML,AI Video Generation,Israel,active
Argil AI,https://www.argil.ai,AI/ML,AI Video Generation,France,active
Tavus AI,https://www.tavus.io,AI/ML,AI Video Generation,USA,active
Simli AI,https://www.simli.com,AI/ML,AI Avatar,USA,active
Hour One AI,https://hourone.ai,AI/ML,AI Video Generation,Israel,active
Steve AI,https://www.steve.ai,AI/ML,AI Video Generation,India,active
InVideo AI,https://invideo.io,AI/ML,AI Video Generation,USA,active
Pictory AI,https://pictory.ai,AI/ML,AI Video Generation,USA,active
Topaz Video AI,https://www.topazlabs.com/topaz-video-ai,AI/ML,AI Video Enhancement,USA,active
Flowframes,https://nmkd.itch.io/flowframes,AI/ML,AI Video Enhancement,Germany,active
Leonardo AI,https://leonardo.ai,AI/ML,AI Image Generation,Australia,active
Adobe Firefly,https://firefly.adobe.com,AI/ML,AI Image Generation,USA,active
Playground AI,https://playgroundai.com,AI/ML,AI Image Generation,USA,active
NightCafe,https://nightcafe.studio,AI/ML,AI Image Generation,Australia,active
Tensor.Art,https://tensor.art,AI/ML,AI Image Generation,China,active
Lexica Art,https://lexica.art,AI/ML,AI Image Search,USA,active
Krea AI,https://www.krea.ai,AI/ML,AI Image Generation,Spain,active
Fal AI,https://fal.ai,AI/ML,AI Image Generation,USA,active
ComfyUI,https://github.com/comfyanonymous/ComfyUI,AI/ML,AI Image Generation,Open Source,active
Automatic1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AI/ML,AI Image Generation,Open Source,active
InvokeAI,https://invoke.ai,AI/ML,AI Image Generation,USA,active
Kohya SS,https://github.com/bmaltais/kohya_ss,AI/ML,AI Model Training,Open Source,active
LoRA Studio,https://lorastudio.co,AI/ML,AI Model Fine-tuning,USA,active
BFL Flux,https://blackforestlabs.ai,AI/ML,Image Generation Model,Germany,active
Scenario AI,https://www.scenario.com,AI/ML,AI Game Assets,France,active
Leiapix,https://leiapix.com,AI/ML,AI 3D Conversion,USA,active
Tripo3D,https://www.tripo3d.ai,AI/ML,AI 3D Generation,China,active
Meshy AI,https://www.meshy.ai,AI/ML,AI 3D Generation,USA,active
Shap-E,https://github.com/openai/shap-e,AI/ML,AI 3D Generation,USA,active
Get3D,https://nv-tlabs.github.io/GET3D,AI/ML,AI 3D Generation,USA,active
Blockade Labs,https://www.blockadelabs.com,AI/ML,AI 3D/360,USA,active
Skybox AI,https://skybox.blockadelabs.com,AI/ML,AI 360 Image,USA,active
PromptHero,https://prompthero.com,AI/ML,Prompt Marketplace,USA,active
PromptBase,https://promptbase.com,AI/ML,Prompt Marketplace,UK,active
FlowGPT,https://flowgpt.com,AI/ML,Prompt Marketplace,USA,active
ShareGPT,https://sharegpt.com,AI/ML,Prompt Sharing,USA,active
PromptLayer,https://promptlayer.com,AI/ML,Prompt Management,USA,active
Priompt,https://github.com/anysphere/priompt,AI/ML,Prompt Management,USA,active
Nunjucks Prompt,https://github.com/microsoft/TypeChat,AI/ML,Prompt Engineering,USA,active
TypeChat,https://microsoft.github.io/TypeChat,AI/ML,Prompt Engineering,USA,active
SGLang,https://github.com/sgl-project/sglang,AI/ML,LLM Serving,USA,active
Langroid,https://langroid.github.io/langroid,AI/ML,LLM Framework,USA,active
BondAI,https://bondai.dev,AI/ML,AI Agent Framework,USA,active
AgentBench,https://github.com/THUDM/AgentBench,AI/ML,AI Agent Benchmark,China,active
ToolBench,https://github.com/OpenBMB/ToolBench,AI/ML,AI Tool Benchmark,China,active
AgentTuning,https://github.com/THUDM/AgentTuning,AI/ML,AI Agent Training,China,active
OpenAgents,https://github.com/xlang-ai/OpenAgents,AI/ML,AI Agent Framework,USA,active
XAgent,https://github.com/OpenBMB/XAgent,AI/ML,AI Agent Framework,China,active
TaskWeaver,https://microsoft.github.io/TaskWeaver,AI/ML,AI Agent Framework,USA,active
Jarvis (HuggingGPT),https://github.com/microsoft/JARVIS,AI/ML,AI Agent Framework,USA,active
AgentVerse,https://github.com/OpenBMB/AgentVerse,AI/ML,AI Agent Simulation,China,active
Multi-Agent Debate,https://github.com/composio-dev/composio,AI/ML,AI Agent Framework,USA,active
Toolhouse,https://toolhouse.ai,AI/ML,AI Tool API,USA,active
Browserbase,https://www.browserbase.com,AI/ML,AI Browser Automation,USA,active
Steel Browser,https://steel.dev,AI/ML,AI Browser Automation,USA,active
Anchor Browser,https://www.anchorbrowser.io,AI/ML,AI Browser,USA,active
MultiOn AI,https://multion.ai,AI/ML,AI Web Agent,USA,active
Induced AI,https://induced.ai,AI/ML,AI Web Automation,USA,active
GPTScript,https://gptscript.ai,AI/ML,AI Scripting,USA,active
Modelfile,https://ollama.com/library,AI/ML,AI Model Format,USA,active
GGUF Format,https://github.com/ggerganov/ggml,AI/ML,ML Model Format,Open Source,active
SafeTensors,https://github.com/huggingface/safetensors,AI/ML,ML Model Format,USA,active
PEFT,https://github.com/huggingface/peft,AI/ML,LLM Fine-tuning,USA,active
TRL (HuggingFace),https://github.com/huggingface/trl,AI/ML,LLM RLHF,USA,active
DeepSpeed,https://www.deepspeed.ai,AI/ML,LLM Training,USA,active
Megatron-LM,https://github.com/NVIDIA/Megatron-LM,AI/ML,LLM Training,USA,active
ColossalAI,https://colossalai.org,AI/ML,LLM Training,USA,active
Nanotron,https://github.com/huggingface/nanotron,AI/ML,LLM Training,USA,active
TorchTune,https://pytorch.org/torchtune,AI/ML,LLM Fine-tuning,USA,active
Torchtitan,https://github.com/pytorch/torchtitan,AI/ML,LLM Training,USA,active
MaxText,https://github.com/google/maxtext,AI/ML,LLM Training,USA,active
OLMo,https://allenai.org/olmo,AI/ML,Open LLM,USA,active
Llama (Meta),https://llama.meta.com,AI/ML,LLM,USA,active
Gemma (Google),https://ai.google.dev/gemma,AI/ML,LLM,USA,active
Phi (Microsoft),https://azure.microsoft.com/en-us/products/phi,AI/ML,LLM,USA,active
Command R (Cohere),https://cohere.com/blog/command-r,AI/ML,LLM,Canada,active
Qwen (Alibaba),https://qwenlm.github.io,AI/ML,LLM,China,active
Mixtral,https://mistral.ai/news/mixtral-of-experts,AI/ML,LLM,France,active
WizardLM,https://github.com/nlpxucan/WizardLM,AI/ML,LLM,China,active
OpenChat,https://github.com/imoneoi/openchat,AI/ML,LLM,Open Source,active
