company_name,website,primary_category,subcategory,hq_country,status
Flet,https://flet.dev,Development,GUI Framework,Russia,active
Toga,https://toga.readthedocs.io,Development,GUI Framework,Australia,active
Dear PyGui,https://dearpygui.readthedocs.io,Development,GUI Framework,USA,active
wxPython,https://wxpython.org,Development,GUI Framework,USA,active
Apache Airflow,https://airflow.apache.org,Data,Workflow Orchestration,USA,active
Luigi,https://luigi.readthedocs.io,Data,Workflow Orchestration,Sweden,active
Kedro,https://kedro.org,Data,Data Pipeline,UK,active
PyAirbyte,https://airbyte.com/product/pyairbyte,Data,Data Pipeline,USA,active
Bonobo,https://www.bonobo-project.org,Data,ETL Framework,France,active
petl,https://petl.readthedocs.io,Data,ETL Framework,UK,active
Weights & Biases,https://wandb.ai,AI/ML,MLOps,USA,active
PyTorch Lightning,https://lightning.ai,AI/ML,Deep Learning,USA,active
Hugging Face Transformers,https://huggingface.co/docs/transformers,AI/ML,NLP,France,active
SGLang,https://sgl-project.github.io,AI/ML,LLM Inference,USA,active
Unsloth,https://unsloth.ai,AI/ML,LLM Fine-tuning,USA,active
Mem0,https://mem0.ai,AI/ML,AI Memory,USA,active
Pydantic AI,https://ai.pydantic.dev,AI/ML,Agent Framework,UK,active
Pydantic Logfire,https://pydantic.dev/logfire,Observability,APM,UK,active
Sentry SDK,https://sentry.io,Observability,Error Tracking,USA,active
statsmodels,https://www.statsmodels.org,Analytics,Statistical Analysis,USA,active
SymPy,https://www.sympy.org,Development,Computer Algebra,Poland,active
NetworkX,https://networkx.org,Analytics,Graph Analysis,USA,active
Numba,https://numba.pydata.org,Development,JIT Compiler,USA,active
Cython,https://cython.org,Development,C Extension,Germany,active
Vaex,https://vaex.io,Data,Big Data,Netherlands,active
Modin,https://modin.readthedocs.io,Data,Data Processing,USA,active
Xarray,https://xarray.dev,Data,Array Computing,USA,active
Crawl4AI,https://crawl4ai.com,Development,Web Scraping,USA,active
Trafilatura,https://trafilatura.readthedocs.io,Development,Web Scraping,Germany,active
MechanicalSoup,https://mechanicalsoup.readthedocs.io,Development,Web Scraping,USA,active
Nox,https://nox.thea.codes,Development,Test Automation,USA,active
Invoke,https://www.pyinvoke.org,Development,Task Runner,USA,active
openpyxl,https://openpyxl.readthedocs.io,Development,Excel Processing,UK,active
XlsxWriter,https://xlsxwriter.readthedocs.io,Development,Excel Processing,Ireland,active
ReportLab,https://www.reportlab.com,Development,PDF Generation,UK,active
pypdf,https://pypdf.readthedocs.io,Development,PDF Processing,Germany,active
scikit-image,https://scikit-image.org,Development,Image Processing,USA,active
imageio,https://imageio.readthedocs.io,Development,Image Processing,Netherlands,active
Wand,https://docs.wand-py.org,Development,Image Processing,South Korea,active
EasyOCR,https://github.com/JaidedAI/EasyOCR,AI/ML,OCR,Thailand,active
Kornia,https://kornia.readthedocs.io,AI/ML,Computer Vision,Spain,active
PyDub,https://github.com/jiaaro/pydub,Development,Audio Processing,USA,active
SoundFile,https://python-soundfile.readthedocs.io,Development,Audio Processing,Germany,active
GeoPandas,https://geopandas.org,Analytics,Geospatial,Netherlands,active
Folium,https://python-visualization.github.io/folium,Analytics,Mapping,USA,active
Shapely,https://shapely.readthedocs.io,Analytics,Geospatial,USA,active
PyProj,https://pyproj4.github.io/pyproj,Analytics,Geospatial,USA,active
Pendulum,https://pendulum.eustace.io,Development,Date/Time,Canada,active
Arrow,https://arrow.readthedocs.io,Development,Date/Time,USA,active
python-dateutil,https://dateutil.readthedocs.io,Development,Date/Time,USA,active
Tenacity,https://tenacity.readthedocs.io,Development,Retry Library,France,active
more-itertools,https://more-itertools.readthedocs.io,Development,Utilities,USA,active
Toolz,https://toolz.readthedocs.io,Development,Utilities,USA,active
Boltons,https://boltons.readthedocs.io,Development,Utilities,USA,active
Humanize,https://python-humanize.readthedocs.io,Development,Utilities,USA,active
Tabulate,https://github.com/astanin/python-tabulate,Development,CLI Tool,Russia,active
PrettyTable,https://github.com/jazzband/prettytable,Development,CLI Tool,USA,active
yfinance,https://github.com/ranaroussi/yfinance,Analytics,Financial Data,USA,active
Backtrader,https://www.backtrader.com,Analytics,Backtesting,Germany,active
QuantLib,https://www.quantlib.org,Analytics,Quantitative Finance,Italy,active
Google Cloud Python,https://cloud.google.com/python,Infrastructure,Cloud SDK,USA,active
SeleniumBase,https://seleniumbase.io,Testing,Browser Automation,USA,active
Helium,https://github.com/mherrmann/helium,Testing,Browser Automation,Germany,active
TextBlob,https://textblob.readthedocs.io,AI/ML,NLP,USA,active
Flair,https://github.com/flairNLP/flair,AI/ML,NLP,Germany,active
Stanza,https://stanfordnlp.github.io/stanza,AI/ML,NLP,USA,active
Django CMS,https://www.django-cms.org,CMS,Content Management,Germany,active
Wagtail,https://wagtail.org,CMS,Content Management,UK,active
pyzmq,https://pyzmq.readthedocs.io,Development,Messaging,USA,active
Twisted,https://twisted.org,Development,Networking,USA,active
Trio,https://trio.readthedocs.io,Development,Async Framework,Canada,active
AnyIO,https://anyio.readthedocs.io,Development,Async Framework,Finland,active
uvloop,https://github.com/MagicStack/uvloop,Development,Async Framework,Canada,active
Pint,https://pint.readthedocs.io,Development,Units Library,Argentina,active
schedule,https://schedule.readthedocs.io,Development,Task Scheduling,Germany,active
Python Telegram Bot,https://python-telegram-bot.org,Development,Bot Framework,Germany,active
discord.py,https://discordpy.readthedocs.io,Development,Bot Framework,USA,active
Tweepy,https://www.tweepy.org,Development,Social API,USA,active
Plumbum,https://plumbum.readthedocs.io,Development,CLI Tool,Israel,active
sh,https://sh.readthedocs.io,Development,Shell Scripting,USA,active
Pygments,https://pygments.org,Development,Syntax Highlighter,Germany,active
PyArrow,https://arrow.apache.org/docs/python,Data,Data Format,USA,active
Zarr,https://zarr.readthedocs.io,Data,Array Storage,UK,active
h5py,https://www.h5py.org,Data,HDF5 Interface,UK,active
fsspec,https://filesystem-spec.readthedocs.io,Data,Filesystem,USA,active
Intake,https://intake.readthedocs.io,Data,Data Catalog,USA,active
Fugue,https://fugue-tutorials.readthedocs.io,Data,Data Processing,USA,active
Bytewax,https://bytewax.io,Data,Stream Processing,USA,active
Evidently,https://www.evidentlyai.com,AI/ML,ML Monitoring,USA,active
whylogs,https://whylabs.ai/whylogs,AI/ML,ML Monitoring,USA,active
Alibi,https://docs.seldon.io/projects/alibi,AI/ML,XAI,UK,active
SHAP,https://shap.readthedocs.io,AI/ML,Explainability,USA,active
LIME,https://github.com/marcotcr/lime,AI/ML,Explainability,USA,active
Dask-ML,https://ml.dask.org,AI/ML,Distributed ML,USA,active
ONNX Runtime,https://onnxruntime.ai,AI/ML,Model Inference,USA,active
TPOT,https://epistasislab.github.io/tpot,AI/ML,AutoML,USA,active
AutoKeras,https://autokeras.com,AI/ML,AutoML,USA,active
FLAML,https://microsoft.github.io/FLAML,AI/ML,AutoML,USA,active
NNI,https://nni.readthedocs.io,AI/ML,AutoML,China,active
Ax Platform,https://ax.dev,AI/ML,Optimization,USA,active
Gymnasium,https://gymnasium.farama.org,AI/ML,Reinforcement Learning,USA,active
FastMCP,https://github.com/jlowin/fastmcp,AI/ML,MCP Framework,USA,active
Guidance,https://github.com/guidance-ai/guidance,AI/ML,Prompt Programming,USA,active
Mirascope,https://mirascope.io,AI/ML,LLM Toolkit,USA,active
Qdrant,https://qdrant.tech,Data,Vector Database,Germany,active
Weaviate,https://weaviate.io,Data,Vector Database,Netherlands,active
Apache Beam,https://beam.apache.org,Data,Data Processing,USA,active
